,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,C.064.1,4563,1,1,0,4563,219.15406530791148,219.15406530791148
1,Donor-3,435489,1,1,0,435489,2.296269251347336,2.296269251347336
2,HD1,181425347,1,1,0,181425347,0.005511908983698953,0.005511908983698953
3,Subject-1009,247349,2,1,1,247348,8.085741199681422,4.042886944709478
4,Subject-326650,77216556,51,10,41,77216515,0.6604801177612739,0.12950597420771967
5,Subject-326651,157010895,20,7,13,157010882,0.12737969553004588,0.04458289712683736
6,Subject-326713,132075912,31,23,8,132075904,0.2347135032465269,0.17414228715027386
7,Subject-326797,99872859,75,4,71,99872788,0.7509547714059132,0.04005094961402299
8,Subject-327059,102853434,33,2,31,102853403,0.32084490246577474,0.01944515146475027
9,Subject-CORD3,1441611,1,1,0,1441611,0.6936684029186792,0.6936684029186792
10,Subject-D103,65645990,50,2,48,65645942,0.7616611464005646,0.03046646813294263
11,Subject-D181,6271025,7,1,6,6271019,1.116244951981534,0.15946371714070712
12,Subject-HIP1,218062505,142,10,132,218062373,0.6511894376339482,0.04585843886051814
13,Subject-HIP2,174080204,96,32,64,174080140,0.5514699419814558,0.183823381575865
14,Subject-HIP3,156488073,8,3,5,156488068,0.05112210692248731,0.01917079070846475
