,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,21,5,16,419955,50.00345261934753,11.906037551642438
1,A007,802011,69,12,57,801954,86.03373270441428,14.963451769054085
2,A013,394675,30,4,26,394649,76.01190853233673,10.135588839703129
3,A030,400094,3,1,2,400092,7.498237914090188,2.4994251322195895
4,A098,396159,111,9,102,396057,280.1905295601009,22.72400184821882
5,AT2,67905,2,2,0,67905,29.452912156689493,29.452912156689493
6,AT3,65495,1,1,0,65495,15.268341094740055,15.268341094740055
7,C.012.1,355151,52,39,13,355138,146.41659463157924,109.81646571192044
8,C.013.1,170199,11,5,6,170193,64.63022696960617,29.37841156804334
9,C.019.1,306765,42,37,5,306760,136.9126204097599,120.61546485852132
10,C.020.1,138048,3,2,1,138047,21.73157162726008,14.487819365868145
11,C.025.1,220872,1,1,0,220872,4.527509145568474,4.527509145568474
12,C.026.1,282203,49,27,22,282181,173.63387348823363,95.68326712287504
13,C.035.1,140374,20,1,19,140355,142.47652699217804,7.124790709272915
14,C.036.1,206231,1,1,0,206231,4.848931537935616,4.848931537935616
15,C.038.1,101126,1,1,0,101126,9.888653758677295,9.888653758677295
16,C.046.1,102651,15,15,0,102651,146.1261945816407,146.1261945816407
17,C.052.1,203433,51,32,19,203414,250.69678960640604,157.3146391103857
18,C.057.1,29229,4,2,2,29227,136.85038831297683,68.42987648407295
19,C.063.1,235331,23,18,5,235326,97.73468008889607,76.48963565436883
20,C.064.1,4563,1,1,0,4563,219.15406530791148,219.15406530791148
21,C6,136353,1,1,0,136353,7.333905377952814,7.333905377952814
22,COS1,923780,154,34,120,923660,166.70635865682306,36.810081631769265
23,COS2,602828,60,14,46,602782,99.53087779598825,23.22564376507593
24,COS3,799900,119,39,80,799820,148.7685960745093,48.76097121852417
25,COS4,1024925,41,4,37,1024888,40.0029270434422,3.9028654838382337
26,COS5,638088,1,1,0,638088,1.5671819560938303,1.5671819560938303
27,Ctl1,233879,14,7,7,233872,59.86001308368857,29.930902373948143
28,Ctl2,428596,79,24,55,428541,184.3227654947783,56.003976282316046
29,Ctl3,318223,53,9,44,318179,166.5498722593904,28.285964818545537
30,Ctl4,258693,12,2,10,258683,46.387030186359894,7.731470564358695
31,Donor-155,341529,2,2,0,341529,5.856018083383842,5.856018083383842
32,Donor-157,293791,1,1,0,293791,3.403780238332692,3.403780238332692
33,Donor-3,435489,92,92,0,435489,211.2567711239549,211.2567711239549
34,Donor-4,130071,7,2,5,130066,53.81676161481037,15.376808697123
35,Donor-5,283849,14,9,5,283844,49.32199866830604,31.70755767252434
36,Donor-6,253298,3,3,0,253298,11.843757155603281,11.843757155603281
37,Donor-HD1,1363697,2,1,1,1363696,1.466601451788777,0.7333012636247375
38,Donor-HD3,2036125,2,2,0,2036125,0.982257965498189,0.982257965498189
39,H1,643900,38,10,28,643872,59.01537505823886,15.53103722479002
40,HD09,295915,6,2,4,295911,20.276092796918036,6.758788960194112
41,HD1,181425347,77,19,58,181425289,0.42441699174481945,0.10472630417030782
42,LP08248,236129,2,2,0,236129,8.469946512287775,8.469946512287775
43,LP23810,181392,7,7,0,181392,38.59045602893182,38.59045602893182
44,LP32647,124010,7,7,0,124010,56.447060720909604,56.447060720909604
45,P.190.1,124202,7,4,3,124199,56.35980096938858,32.20637847325663
46,Patient-H011,93966,17,10,7,93959,180.91650171338568,106.42940005747187
47,Patient-H012,42583,3,2,1,42582,70.45064932015124,46.9682025268893
48,Patient-H013,66555,3,3,0,66555,45.075501464953796,45.075501464953796
49,Patient-H014,83062,12,8,4,83058,144.47039560809998,96.31823544992656
50,Subject-1009,247349,16,9,7,247342,64.68592959745138,36.38686515027775
51,Subject-1010,234355,16,7,9,234346,68.27249258603402,29.870362626202283
52,Subject-1011,229498,13,6,7,229491,56.64537381589382,26.14481613658052
53,Subject-1015,222056,4,1,3,222053,18.013474078610802,4.503429361458751
54,Subject-1017,211489,18,9,9,211480,85.11080954565013,42.55721581236996
55,Subject-2603,1332,1,1,0,1332,750.7507507507507,750.7507507507507
56,Subject-316188,58895283,2484,91,2393,58892890,42.17655257722422,1.5451780342245047
57,Subject-326650,77216556,11837,1404,10433,77206123,153.29614027333724,18.185086175095208
58,Subject-326651,157010895,5384,1502,3882,157007013,34.29061403668834,9.566451659073342
59,Subject-326713,132075912,7486,3211,4275,132071637,56.67952533237098,24.312563037285592
60,Subject-326737,94176505,5901,271,5630,94170875,62.65894025266705,2.8777474988949607
61,Subject-326780,117108038,2092,196,1896,117106142,17.86384637406358,1.6736953045554177
62,Subject-326797,99872859,9805,746,9059,99863800,98.17482044846638,7.4701743775021585
63,Subject-326907,33686764,962,80,882,33685882,28.557210184985415,2.3748821538946197
64,Subject-327059,102853434,5524,709,4815,102848619,53.70749215821029,6.893626836156157
65,Subject-BD1,8633933,4,2,2,8633931,0.46328828356671287,0.2316441954423773
66,Subject-BD1+3+4,2700689,40,13,27,2700662,14.811035258039707,4.813634582928186
67,Subject-BD14,1074780,11,8,3,1074777,10.234652673105193,7.443404538802003
68,Subject-BD1h,2300336,21,4,17,2300319,9.129101140007373,1.7388892584028564
69,Subject-BD3,1843944,1,1,0,1843944,0.5423158187016526,0.5423158187016526
70,Subject-BD3h,896567,19,4,15,896552,21.191946614140384,4.461537088757819
71,Subject-BD5,3582234,31,14,17,3582217,8.653817701467855,3.9081942830375715
72,Subject-BD5g,501835,1,1,0,501835,1.9926868392997699,1.9926868392997699
73,Subject-BD5h,1967787,115,15,100,1967687,58.4412845495981,7.623163643404667
74,Subject-BD6,1089054,1,1,0,1089054,0.918228113573799,0.918228113573799
75,Subject-BD7,808852,9,2,7,808845,11.126881061059377,2.47266163480024
76,Subject-BD8,528026,18,6,12,528014,34.08923045456095,11.363335063085447
77,Subject-BF520,529983,11,1,10,529973,20.75538271982309,1.8868885773426194
78,Subject-CAP301,1422159,2,2,0,1422159,1.4063125149860178,1.4063125149860178
79,Subject-CAP312,1284879,4,2,2,1284877,3.113133610246568,1.5565692280272743
80,Subject-CAP322,1476844,9,6,3,1476841,6.0940762870012,4.062725777521074
81,Subject-CAP351,1141581,6,3,3,1141578,5.255868834537366,2.6279413233261324
82,Subject-CB1,410636,227,1,226,410410,552.8010208554534,2.436587802441461
83,Subject-CB1g,13089,1,1,0,13089,76.40003056001223,76.40003056001223
84,Subject-CB2,1364658,71,18,53,1364605,52.02768752317431,13.190630255641743
85,Subject-CB5,460201,175,2,173,460028,380.2686217544073,4.347561452781135
86,Subject-CORD1,1135699,67,29,38,1135661,58.9945047059124,25.535789289233318
87,Subject-CORD2,1358084,84,38,46,1358038,61.85184421582171,27.981543962687347
88,Subject-CORD3,1441611,488,168,320,1441291,338.51018062431547,116.56216544750505
89,Subject-D103,65645990,3844,145,3699,65642291,58.5565089352754,2.2089417933325937
90,Subject-D181,6271025,187,26,161,6270864,29.81968657436384,4.146159125760024
91,Subject-HD01,29550,1,1,0,29550,33.840947546531304,33.840947546531304
92,Subject-HD03,36958,14,3,11,36947,378.8083770766816,81.19739085717379
93,Subject-HD05,34802,19,1,18,34784,545.9456353083157,28.74885004599816
94,Subject-HD06,39182,10,2,8,39174,255.2192333214231,51.0542706897432
95,Subject-HD07,33234,1,1,0,33234,30.089667208280677,30.089667208280677
96,Subject-HD08,37267,1,1,0,37267,26.83339147234819,26.83339147234819
97,Subject-HD11,47406,2,1,1,47405,42.18875247858921,21.09482122139015
98,Subject-HD12,52137,1,1,0,52137,19.180236684120683,19.180236684120683
99,Subject-HD13,38916,5,2,3,38913,128.48185836159934,51.396705471179295
100,Subject-HD16,38090,6,2,4,38086,157.52165922814387,52.51273433807698
101,Subject-HD19,12040,4,3,1,12039,332.22591362126246,249.19013207077
102,Subject-HD20,12670,4,1,3,12667,315.70639305445934,78.94529091339702
103,Subject-HD24,21956,2,1,1,21955,91.09127345600292,45.54771122751082
104,Subject-HD33,11920,1,1,0,11920,83.89261744966443,83.89261744966443
105,Subject-HD34,21881,1,1,0,21881,45.701750377039446,45.701750377039446
106,Subject-HD38,12927,12,1,11,12916,928.2896263634254,77.4233508826262
107,Subject-HIP1,218062505,14309,1725,12584,218049921,65.61880044439552,7.911032446556126
108,Subject-HIP2,174080204,24609,5605,19004,174061200,141.36587293980884,32.20131769745354
109,Subject-HIP3,156488073,2523,636,1887,156486186,16.122634470679436,4.064256508878042
110,Subject-Healthy-1,89222,1,1,0,89222,11.207998027392348,11.207998027392348
111,Subject-Healthy-10,81939,1,1,0,81939,12.204200685876078,12.204200685876078
112,Subject-Healthy-2,7788,1,1,0,7788,128.40267077555214,128.40267077555214
113,Subject-Healthy-7,5463,1,1,0,5463,183.04960644334616,183.04960644334616
114,Subject-IGG2,346200,5,3,2,346198,14.442518775274408,8.665561326177507
115,Subject-TW01A,126368,1,1,0,126368,7.913395796404152,7.913395796404152
116,Subject-TW02B,201854,3,2,1,201853,14.862227154279827,9.908200522162167
117,Subject-TW03A,273063,1,1,0,273063,3.6621585494922417,3.6621585494922417
118,Subject-TW03B,178233,6,2,4,178229,33.663799633064585,11.221518383652493
119,Subject-TW04A,270086,7,6,1,270085,25.917670667861348,22.215228539163597
120,Subject-TW04B,435002,42,5,37,434965,96.55128022399897,11.495177772924258
121,Subject-TW05A,263881,3,2,1,263880,11.368760918747466,7.57920266787934
122,Subject-TW05B,211004,7,4,3,211001,33.17472654546833,18.957256126748213
