,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,C.012.1,355151,1,1,0,355151,2.8157037429149856,2.8157037429149856
1,C.013.1,170199,2,1,1,170198,11.750950358110211,5.875509700466515
2,C.019.1,306765,3,3,0,306765,9.779472886411423,9.779472886411423
3,C.026.1,282203,1,1,0,282203,3.5435484385353804,3.5435484385353804
4,C.046.1,102651,1,1,0,102651,9.741746305442714,9.741746305442714
5,C.063.1,235331,2,1,1,235330,8.49866783381705,4.249351973823992
6,C.064.1,4563,1,1,0,4563,219.15406530791148,219.15406530791148
7,COS1,923780,7,2,5,923775,7.57756175712832,2.165029363210739
8,COS4,1024925,10,1,9,1024916,9.756811474010295,0.9756897150595756
9,Ctl3,318223,1,1,0,318223,3.142450419988499,3.142450419988499
10,Donor-3,435489,3,3,0,435489,6.888807754042007,6.888807754042007
11,Donor-5,283849,1,1,0,283849,3.5229999048790024,3.5229999048790024
12,H1,643900,8,2,6,643894,12.424289485945023,3.106101314812687
13,HD1,181425347,8,4,4,181425343,0.044095271869591626,0.022047636420894075
14,LP23810,181392,2,2,0,181392,11.025844579694805,11.025844579694805
15,LP32647,124010,1,1,0,124010,8.0638658172728,8.0638658172728
16,Subject-1009,247349,4,2,2,247347,16.171482399362844,8.085806579420813
17,Subject-326650,77216556,384,61,323,77216233,4.973026769026062,0.7899893277622076
18,Subject-326651,157010895,214,56,158,157010737,1.3629627421714907,0.3566635063944703
19,Subject-326713,132075912,549,140,409,132075503,4.156700428462686,1.0599997487800594
20,Subject-326737,94176505,232,13,219,94176286,2.463459437149425,0.13803899635625894
21,Subject-326780,117108038,99,9,90,117107948,0.8453732270708865,0.07685217061441466
22,Subject-326797,99872859,544,38,506,99872353,5.446925275264224,0.3804856785541039
23,Subject-326907,33686764,23,2,21,33686743,0.6827607424684662,0.05937053635609712
24,Subject-327059,102853434,279,48,231,102853203,2.7125978117560954,0.4666845426291683
25,Subject-BD14,1074780,2,1,1,1074779,1.8608459405645807,0.9304238359699994
26,Subject-CAP322,1476844,1,1,0,1476844,0.6771195874445778,0.6771195874445778
27,Subject-CB2,1364658,7,2,5,1364653,5.129490319186199,1.4655740323730648
28,Subject-CORD1,1135699,3,2,1,1135698,2.641544986831898,1.761031541835946
29,Subject-CORD2,1358084,12,2,10,1358074,8.835977745117386,1.4726738012803426
30,Subject-CORD3,1441611,12,8,4,1441607,8.32402083502415,5.549362621019459
31,Subject-D103,65645990,247,8,239,65645751,3.762606063218789,0.1218662271073721
32,Subject-D181,6271025,7,1,6,6271019,1.116244951981534,0.15946371714070712
33,Subject-HD01,29550,1,1,0,29550,33.840947546531304,33.840947546531304
34,Subject-HIP1,218062505,785,97,688,218061817,3.5998852714271075,0.44482799113794413
35,Subject-HIP2,174080204,1291,309,982,174079222,7.41612182393812,1.775053888970161
36,Subject-HIP3,156488073,40,26,14,156488059,0.25561053461243655,0.16614686236219467
