,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,26,3,23,419948,61.90903657633504,7.143741606103613
1,A007,802011,46,11,35,801976,57.35582180294285,13.716121180683711
2,A013,394675,28,5,23,394652,70.94444796351428,12.669389740834964
3,A030,400094,4,4,0,400094,9.997650552120252,9.997650552120252
4,A058,379324,28,1,27,379297,73.81552445930129,2.6364563916930535
5,A098,396159,2,2,0,396159,5.048478010091908,5.048478010091908
6,C.012.1,355151,21,14,7,355144,59.129778601214696,39.42062937850562
7,C.013.1,170199,8,3,5,170194,47.003801432440845,17.6269433705066
8,C.019.1,306765,5,5,0,306765,16.299121477352372,16.299121477352372
9,C.025.1,220872,8,2,6,220866,36.22007316454779,9.05526427788795
10,C.026.1,282203,17,11,6,282197,60.24032345510147,38.97986158605513
11,C.035.1,140374,6,2,4,140370,42.742958097653414,14.248058702001853
12,C.036.1,206231,1,1,0,206231,4.848931537935616,4.848931537935616
13,C.046.1,102651,9,8,1,102650,87.67571674898443,77.93472966390648
14,C.052.1,203433,12,10,2,203431,58.987479907389655,49.1567165279628
15,C.057.1,29229,2,1,1,29228,68.42519415648842,34.21376762009033
16,C.063.1,235331,67,5,62,235269,284.7053724328712,21.252268679681556
17,C7,49120,1,1,0,49120,20.35830618892508,20.35830618892508
18,COS1,923780,65,10,55,923725,70.36307345904869,10.82573276678665
19,COS2,602828,19,3,16,602812,31.51811130206294,4.976675978580387
20,COS3,799900,48,13,35,799865,60.0075009376172,16.252742650322244
21,COS4,1024925,48,3,45,1024880,46.832695075249404,2.927171961595504
22,Ctl1,233879,5,1,4,233875,21.378576101317346,4.27578834847675
23,Ctl2,428596,12,6,6,428590,27.998394758700503,13.999393359621083
24,Ctl3,318223,5,2,3,318220,15.712252099942493,6.284960090503425
25,Ctl4,258693,1,1,0,258693,3.8655858488633243,3.8655858488633243
26,Donor-157,293791,1,1,0,293791,3.403780238332692,3.403780238332692
27,Donor-2,62441,1,1,0,62441,16.015118271648436,16.015118271648436
28,Donor-3,435489,50,46,4,435485,114.8134625673668,105.62935577574429
29,Donor-4,130071,3,1,2,130069,23.064326406347302,7.688227017967386
30,Donor-5,283849,32,8,24,283825,112.73599695612808,28.186382453976922
31,Donor-6,253298,6,2,4,253294,23.687514311206563,7.895962794223314
32,Donor-HD1,1363697,4,1,3,1363694,2.933202903577554,0.7333023390878013
33,Donor-HD3,2036125,1,1,0,2036125,0.4911289827490945,0.4911289827490945
34,H1,643900,18,5,13,643887,27.954651343376298,7.76533770677153
35,HD07,315863,1,1,0,315863,3.16592953274046,3.16592953274046
36,HD1,181425347,117,10,107,181425240,0.6448933510927776,0.05511912234482919
37,HD10,354397,74,3,71,354326,208.8053792780413,8.466779180754447
38,HD13,265652,25,2,23,265629,94.10808124915302,7.529298382330242
39,LP08248,236129,12,5,7,236122,50.81967907372665,21.175494024275586
40,LP23810,181392,11,9,2,181390,60.64214518832143,49.61684767627764
41,LP32647,124010,18,8,10,124000,145.1495847109104,64.51612903225806
42,P.190.1,124202,3,3,0,124202,24.154200415452244,24.154200415452244
43,P.191.1,26571,1,1,0,26571,37.63501561853148,37.63501561853148
44,Patient-H011,93966,8,5,3,93963,85.13717727688739,53.21243468173643
45,Patient-H012,42583,1,1,0,42583,23.483549773383746,23.483549773383746
46,Subject-1009,247349,9,2,7,247342,36.38583539856639,8.085970033395057
47,Subject-1010,234355,28,7,21,234334,119.47686202555951,29.871892256352044
48,Subject-1011,229498,11,6,5,229493,47.930700921140925,26.144588288095935
49,Subject-1015,222056,16,5,11,222045,72.05389631444321,22.51795807156207
50,Subject-1017,211489,3,1,2,211487,14.18513492427502,4.7284230236373865
51,Subject-316188,58895283,2528,86,2442,58892841,42.92364127021854,1.4602793572142325
52,Subject-326650,77216556,3592,282,3310,77213246,46.51852123526462,3.6522230913592213
53,Subject-326651,157010895,6030,863,5167,157005728,38.404978202308826,5.496614747711625
54,Subject-326713,132075912,6052,1277,4775,132071137,45.822132956386476,9.669031621950827
55,Subject-326737,94176505,5541,193,5348,94171157,58.83633078122829,2.049459793724314
56,Subject-326780,117108038,3918,204,3714,117104324,33.45628589559326,1.7420364426509136
57,Subject-326797,99872859,5094,215,4879,99867980,51.004848073889626,2.152842182249005
58,Subject-326907,33686764,2072,81,1991,33684773,61.50783732150705,2.404647346146581
59,Subject-327059,102853434,5447,342,5105,102848329,52.958854052456815,3.3252849445905923
60,Subject-BD1,8633933,16,4,12,8633921,1.8531531342668515,0.4632889274757089
61,Subject-BD1+3+4,2700689,185,32,153,2700536,68.50103806843364,11.849499506764582
62,Subject-BD10,302689,125,2,123,302566,412.9651226176042,6.6101280381800995
63,Subject-BD12,443315,44,1,43,443272,99.25222471605969,2.2559511992636576
64,Subject-BD14,1074780,22,5,17,1074763,20.469305346210387,4.65218843596216
65,Subject-BD1h,2300336,199,17,182,2300154,86.50910127911747,7.39080948493014
66,Subject-BD2r,747335,3,3,0,747335,4.014264018144473,4.014264018144473
67,Subject-BD3,1843944,1048,62,986,1842958,568.3469779993319,33.64156969393768
68,Subject-BD3h,896567,59,13,46,896521,65.80657106496224,14.50049692087525
69,Subject-BD4,993820,43,3,40,993780,43.26739248556077,3.018776791644026
70,Subject-BD5,3582234,37,13,24,3582210,10.328750159816472,3.6290446400406453
71,Subject-BD5g,501835,24,7,17,501818,47.824484143194475,13.949280416405948
72,Subject-BD5h,1967787,54,8,46,1967741,27.44199448415911,4.065575703306482
73,Subject-BD6h,828336,8,2,6,828330,9.657916594232294,2.414496637813432
74,Subject-BD8,528026,41,3,38,527988,77.64769159094438,5.681947316984477
75,Subject-CAP301,1422159,6,1,5,1422154,4.218937544958053,0.7031587296453127
76,Subject-CAP312,1284879,1,1,0,1284879,0.778283402561642,0.778283402561642
77,Subject-CAP322,1476844,5,1,4,1476840,3.385597937222889,0.6771214214132878
78,Subject-CAP335,734921,1,1,0,734921,1.3606904687714734,1.3606904687714734
79,Subject-CAP351,1141581,3,3,0,1141581,2.627934417268683,2.627934417268683
80,Subject-CB1,410636,2,2,0,410636,4.870493575818974,4.870493575818974
81,Subject-CB2,1364658,56,6,50,1364608,41.03592255348959,4.396867085639245
82,Subject-CORD1,1135699,12,7,5,1135694,10.566179947327592,6.163632105126909
83,Subject-CORD2,1358084,56,20,36,1358048,41.2345628105478,14.727019958057447
84,Subject-CORD3,1441611,56,24,32,1441579,38.84543056344603,16.648411221306638
85,Subject-D103,65645990,4107,136,3971,65642019,62.562846565342376,2.071843646369256
86,Subject-D181,6271025,251,24,227,6270798,40.025354706766436,3.8272640898335424
87,Subject-H1,176809,15,3,12,176797,84.83731031791369,16.968613720821054
88,Subject-HD19,12040,4,1,3,12037,332.22591362126246,83.07717869901137
89,Subject-HD29,14212,30,2,28,14184,2110.8922037714606,141.0039481105471
90,Subject-HD30,14431,4,1,3,14428,277.1810685330192,69.30967563071805
91,Subject-HD38,12927,18,1,17,12910,1392.434439545138,77.45933384972889
92,Subject-HIP1,218062505,22558,481,22077,218040428,103.44740376159578,2.206012914265606
93,Subject-HIP2,174080204,11947,1456,10491,174069713,68.62928538387972,8.364464873909455
94,Subject-HIP3,156488073,10654,520,10134,156477939,68.08186589402247,3.3231521537358693
95,Subject-Healthy-10,81939,4,4,0,81939,48.81680274350431,48.81680274350431
96,Subject-Healthy-3,6143,1,1,0,6143,162.78691193228065,162.78691193228065
97,Subject-Healthy-6,4769,1,1,0,4769,209.68756552736423,209.68756552736423
98,Subject-Healthy-8,6343,4,2,2,6341,630.6164275579379,315.40766440624503
99,Subject-IGG2,346200,6,1,5,346195,17.331022530329292,2.8885454729271074
100,Subject-PEM1,24677,1,1,0,24677,40.52356445272927,40.52356445272927
101,Subject-TW01A,126368,1,1,0,126368,7.913395796404152,7.913395796404152
102,Subject-TW01B,87491,4,2,2,87489,45.71898823879028,22.86001668781218
103,Subject-TW02A,192084,4,1,3,192081,20.82422273588638,5.206136994288868
104,Subject-TW02B,201854,1,1,0,201854,4.954075718093275,4.954075718093275
105,Subject-TW03B,178233,2,2,0,178233,11.221266544354862,11.221266544354862
106,Subject-TW04A,270086,2,2,0,270086,7.405048762246099,7.405048762246099
107,Subject-TW04B,435002,3,2,1,435001,6.896520015999926,4.597690580021656
108,Subject-TW05A,263881,3,1,2,263879,11.368760918747466,3.7896156950723627
