,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,4,2,2,419969,9.524467165590005,4.762256261771702
1,A007,802011,68,9,59,801952,84.78686701304595,11.22261681497147
2,A013,394675,33,7,26,394649,83.61309938557041,17.737280469480474
3,A030,400094,0,0,0,400094,0.0,0.0
4,A058,379324,2,2,0,379324,5.272537461378663,5.272537461378663
5,A098,396159,17,5,12,396147,42.91206308578121,12.621577343763805
6,AT2,67905,0,0,0,67905,0.0,0.0
7,AT3,65495,0,0,0,65495,0.0,0.0
8,C.012.1,355151,16,10,6,355145,45.05125988663977,28.157513128440495
9,C.013.1,170199,1,1,0,170199,5.875475179055106,5.875475179055106
10,C.019.1,306765,11,10,1,306764,35.85806725017522,32.59834921959552
11,C.020.1,138048,0,0,0,138048,0.0,0.0
12,C.025.1,220872,0,0,0,220872,0.0,0.0
13,C.026.1,282203,15,9,6,282197,53.15322657803071,31.8926140249542
14,C.035.1,140374,0,0,0,140374,0.0,0.0
15,C.036.1,206231,0,0,0,206231,0.0,0.0
16,C.038.1,101126,0,0,0,101126,0.0,0.0
17,C.046.1,102651,10,9,1,102650,97.41746305442713,87.6765708718948
18,C.052.1,203433,13,11,2,203431,63.90310323300547,54.07238818075908
19,C.057.1,29229,0,0,0,29229,0.0,0.0
20,C.063.1,235331,10,6,4,235327,42.493339169085246,25.496436872947005
21,C.064.1,4563,1,1,0,4563,219.15406530791148,219.15406530791148
22,C10,79473,1,1,0,79473,12.582889786468359,12.582889786468359
23,C4,101665,0,0,0,101665,0.0,0.0
24,C5,77042,0,0,0,77042,0.0,0.0
25,C7,49120,0,0,0,49120,0.0,0.0
26,C9,36236,0,0,0,36236,0.0,0.0
27,COS1,923780,42,7,35,923745,45.465370542769925,7.577848865217132
28,COS2,602828,7,2,5,602823,11.611935742865295,3.3177234445268344
29,COS3,799900,34,7,27,799873,42.50531316414551,8.751389283048685
30,COS4,1024925,1,1,0,1024925,0.9756811474010294,0.9756811474010294
31,COS5,638088,0,0,0,638088,0.0,0.0
32,Ctl1,233879,21,1,20,233859,89.79001962553286,4.276080886346046
33,Ctl2,428596,12,4,8,428588,27.998394758700503,9.332972458398276
34,Ctl3,318223,9,1,8,318215,28.28205377989649,3.142529421931713
35,Ctl4,258693,8,3,5,258688,30.924686790906595,11.596981692231568
36,Donor-1,1063897,0,0,0,1063897,0.0,0.0
37,Donor-155,341529,0,0,0,341529,0.0,0.0
38,Donor-157,293791,2,2,0,293791,6.807560476665384,6.807560476665384
39,Donor-2,62441,0,0,0,62441,0.0,0.0
40,Donor-3,435489,64,62,2,435487,146.9612320862295,142.36934742024448
41,Donor-4,130071,3,1,2,130069,23.064326406347302,7.688227017967386
42,Donor-5,283849,14,9,5,283844,49.32199866830604,31.70755767252434
43,Donor-6,253298,3,3,0,253298,11.843757155603281,11.843757155603281
44,Donor-HD1,1363697,0,0,0,1363697,0.0,0.0
45,Donor-HD3,2036125,0,0,0,2036125,0.0,0.0
46,H1,643900,3,2,1,643899,4.659108557229383,3.106077195336536
47,HD07,315863,4,1,3,315860,12.66371813096184,3.165959602355474
48,HD09,295915,10,2,8,295907,33.79348799486339,6.7588803238855455
49,HD1,181425347,8,6,2,181425345,0.044095271869591626,0.033071454266767414
50,HD10,354397,0,0,0,354397,0.0,0.0
51,HD13,265652,20,2,18,265634,75.28646499932242,7.529156659162607
52,LP08248,236129,1,1,0,236129,4.2349732561438875,4.2349732561438875
53,LP23810,181392,6,4,2,181390,33.07753373908441,22.051932300567838
54,LP32647,124010,3,3,0,124010,24.191597451818403,24.191597451818403
55,P.190.1,124202,4,2,2,124200,32.20560055393633,16.103059581320448
56,P.191.1,26571,0,0,0,26571,0.0,0.0
57,Patient-H011,93966,7,2,5,93961,74.49503011727647,21.285426932450697
58,Patient-H012,42583,0,0,0,42583,0.0,0.0
59,Patient-H013,66555,2,2,0,66555,30.050334309969198,30.050334309969198
60,Patient-H014,83062,2,2,0,83062,24.07839926801666,24.07839926801666
61,Subject-1009,247349,6,2,4,247345,24.257223599044266,8.08587196021751
62,Subject-1010,234355,25,5,20,234335,106.67576966567813,21.33697484370666
63,Subject-1011,229498,9,5,4,229494,39.21602802638803,21.78706197111907
64,Subject-1015,222056,6,4,2,222054,27.0202111179162,18.013636322696282
65,Subject-1017,211489,5,1,4,211485,23.641891540458367,4.728467740028844
66,Subject-316188,58895283,11810,54,11756,58883527,200.52539691506365,0.917064631675341
67,Subject-326650,77216556,2488,239,2249,77214307,32.221069274314694,3.095281292882678
68,Subject-326651,157010895,3458,759,2699,157008196,22.02394935714493,4.834142543743385
69,Subject-326713,132075912,2749,979,1770,132074142,20.813787755635563,7.412503198392915
70,Subject-326737,94176505,1866,83,1783,94174722,19.813859093624252,0.8813405363702587
71,Subject-326780,117108038,1373,112,1261,117106777,11.724216573417445,0.9563921309182645
