,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
94,Subject-CAP312,1284879,11,4,7,1284872,8.561117428178061,3.1131505706405
95,Subject-CAP322,1476844,87,26,61,1476783,58.90940410767826,17.605836470219387
96,Subject-CAP351,1141581,8,5,3,1141578,7.007825112716487,4.379902205543554
97,Subject-CB1,410636,231,3,228,410408,562.5420080070915,7.309799029258689
98,Subject-CB1g,13089,3,2,1,13088,229.20009168003668,152.81173594132028
99,Subject-CB2,1364658,553,100,453,1364205,405.2297352157097,73.30276607987803
100,Subject-CB4,763630,146,1,145,763485,191.19206945772166,1.3097834273102942
101,Subject-CB5,460201,176,3,173,460028,382.44158530728964,6.521342179171702
102,Subject-CORD1,1135699,126,65,61,1135638,110.94488944693973,57.23654897071074
103,Subject-CORD2,1358084,205,76,129,1357955,150.94795314575535,55.9665084630934
104,Subject-CORD3,1441611,828,295,533,1441078,574.3574376166664,204.7078645291927
105,Subject-D103,65645990,7617,264,7353,65638637,116.03145904266201,4.0220213591577165
106,Subject-D181,6271025,379,49,330,6270695,60.436690971571636,7.814125866431072
107,Subject-HD01,29550,3,2,1,29549,101.5228426395939,67.68418559003689
108,Subject-HD03,36958,15,3,12,36946,405.8661182964446,81.19958858875115
109,Subject-HD05,34802,20,1,19,34783,574.6796161140164,28.749676566138632
110,Subject-HD06,39182,16,5,11,39171,408.350773314277,127.64545199254552
111,Subject-HD07,33234,2,2,0,33234,60.17933441656135,60.17933441656135
112,Subject-HD08,37267,2,1,1,37266,53.66678294469638,26.834111522567486
113,Subject-HD09,40219,21,1,20,40199,522.1412765111018,24.876240702505036
114,Subject-HD10,37566,13,1,12,37554,346.0576052813714,26.62832188315492
115,Subject-HD11,47406,8,1,7,47399,168.75500991435683,21.09749150825967
116,Subject-HD12,52137,35,1,34,52103,671.3082839442238,19.192752816536476
117,Subject-HD13,38916,5,2,3,38913,128.48185836159934,51.396705471179295
118,Subject-HD16,38090,8,2,6,38084,210.0288789708585,52.5154920701607
119,Subject-HD17,31930,6,1,5,31925,187.91105543376136,31.323414252153487
120,Subject-HD18,15702,2,1,1,15701,127.3723092599669,63.690210814597805
121,Subject-HD19,12040,4,3,1,12039,332.22591362126246,249.19013207077
122,Subject-HD20,12670,15,3,12,12658,1183.8989739542226,237.0042660767894
123,Subject-HD21,12117,8,2,6,12111,660.2294297268301,165.1391297167864
124,Subject-HD22,13909,2,1,1,13908,143.79178948882017,71.90106413574921
125,Subject-HD24,21956,4,1,3,21953,182.18254691200585,45.55186079351341
126,Subject-HD30,14431,3,1,2,14429,207.88580139976438,69.30487213251092
127,Subject-HD31,21635,2,1,1,21634,92.44280101687082,46.223537025053155
128,Subject-HD33,11920,14,1,13,11907,1174.4966442953018,83.98421096833795
129,Subject-HD34,21881,1,1,0,21881,45.701750377039446,45.701750377039446
130,Subject-HD35,18131,7,1,6,18125,386.0790910595113,55.172413793103445
131,Subject-HD38,12927,12,1,11,12916,928.2896263634254,77.4233508826262
132,Subject-HD39,14245,1,1,0,14245,70.2000702000702,70.2000702000702
133,Subject-HIP1,218062505,53987,3785,50202,218012303,247.57580401087296,17.361405516641874
134,Subject-HIP2,174080204,63431,10864,52567,174027637,364.37801968568465,62.42686614195652
