,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A007,802011,9,3,6,802005,11.221791222314906,3.7406250584472667
1,A013,394675,7,3,4,394671,17.73611199087857,7.6012678914843
2,A098,396159,35,2,33,396126,88.34836517660838,5.048898582774168
3,AT2,67905,1,1,0,67905,14.726456078344746,14.726456078344746
4,C.013.1,170199,1,1,0,170199,5.875475179055106,5.875475179055106
5,C.019.1,306765,7,6,1,306764,22.81877006829332,19.55900953175731
6,C.026.1,282203,2,2,0,282203,7.087096877070761,7.087096877070761
7,C.038.1,101126,9,1,8,101118,88.99788382809565,9.88943610435333
8,C.046.1,102651,8,8,0,102651,77.93397044354171,77.93397044354171
9,C.057.1,29229,1,1,0,29229,34.21259707824421,34.21259707824421
10,C.063.1,235331,1,1,0,235331,4.249333916908525,4.249333916908525
11,C7,49120,1,1,0,49120,20.35830618892508,20.35830618892508
12,COS1,923780,5,3,2,923778,5.412544112234515,3.247533498308035
13,COS2,602828,7,1,6,602822,11.611935742865295,1.6588644740901959
14,COS3,799900,15,4,11,799889,18.752344043005372,5.0006938462711705
15,COS4,1024925,22,1,21,1024904,21.464985242822646,0.9757011388383692
16,COS5,638088,14,4,10,638078,21.940547385313625,6.268826068286323
17,Ctl2,428596,1,1,0,428596,2.3331995632250417,2.3331995632250417
18,Ctl3,318223,2,1,1,318222,6.284900839976998,3.1424602950141725
19,Ctl4,258693,9,2,7,258686,34.790272639769924,7.731380901942895
20,Donor-155,341529,1,1,0,341529,2.928009041691921,2.928009041691921
21,Donor-3,435489,24,24,0,435489,55.11046203233606,55.11046203233606
22,Donor-5,283849,3,3,0,283849,10.568999714637007,10.568999714637007
23,H1,643900,5,1,4,643896,7.7651809287156395,1.553045833488638
24,HD1,181425347,22,2,20,181425327,0.12126199764137698,0.011023819182643666
25,P.190.1,124202,2,1,1,124201,16.102800276968164,8.05146496405021
26,Patient-H011,93966,4,2,2,93964,42.56858863844369,21.284747350048953
27,Patient-H012,42583,2,1,1,42582,46.96709954676749,23.48410126344465
28,Patient-H013,66555,2,2,0,66555,30.050334309969198,30.050334309969198
29,Patient-H014,83062,1,1,0,83062,12.03919963400833,12.03919963400833
30,Subject-1009,247349,1,1,0,247349,4.042870599840711,4.042870599840711
31,Subject-1010,234355,4,2,2,234353,17.068123146508505,8.53413440408273
32,Subject-1011,229498,3,3,0,229498,13.072009342129343,13.072009342129343
33,Subject-1015,222056,7,1,6,222050,31.523579637568904,4.503490204908804
34,Subject-1017,211489,1,1,0,211489,4.728378308091673,4.728378308091673
35,Subject-316188,58895283,413,17,396,58894887,7.012446141060227,0.28864984493475637
36,Subject-326650,77216556,1656,153,1503,77215053,21.446177941424896,1.9814789222510796
37,Subject-326651,157010895,4039,807,3232,157007663,25.724329512292762,5.139876516727722
38,Subject-326713,132075912,2190,932,1258,132074654,16.581373293867543,7.056615117083706
39,Subject-326737,94176505,1327,48,1279,94175226,14.090563246108994,0.5096881848735887
40,Subject-326780,117108038,818,84,734,117107304,6.985003027717021,0.7172908702603213
41,Subject-326797,99872859,782,56,726,99872133,7.8299550831923215,0.5607169719705496
42,Subject-326907,33686764,978,55,923,33685841,29.032174179746086,1.6327334680467085
43,Subject-327059,102853434,1654,229,1425,102852009,16.08113541449671,2.2265000190710906
44,Subject-BD1+3+4,2700689,39,6,33,2700656,14.440759376588716,2.221682435674888
45,Subject-BD1h,2300336,41,6,35,2300301,17.823483178109633,2.6083542979810037
46,Subject-BD2r,747335,6,1,5,747330,8.028528036288947,1.3380969585056133
