,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,C.012.1,355151,1,1,0,355151,2.8157037429149856,2.8157037429149856
1,C.013.1,170199,2,1,1,170198,11.750950358110211,5.875509700466515
2,C.063.1,235331,2,1,1,235330,8.49866783381705,4.249351973823992
3,COS4,1024925,10,1,9,1024916,9.756811474010295,0.9756897150595756
4,Donor-3,435489,1,1,0,435489,2.296269251347336,2.296269251347336
5,HD1,181425347,8,4,4,181425343,0.044095271869591626,0.022047636420894075
6,LP23810,181392,1,1,0,181392,5.512922289847403,5.512922289847403
7,Subject-1009,247349,4,2,2,247347,16.171482399362844,8.085806579420813
8,Subject-326650,77216556,196,30,166,77216390,2.5383157466903863,0.38851855156657805
9,Subject-326651,157010895,44,18,26,157010869,0.2802353301661009,0.114641744960981
10,Subject-326713,132075912,43,23,20,132075892,0.3255703432129244,0.17414230297229416
11,Subject-326737,94176505,51,4,47,94176458,0.541536341787158,0.04247345976846995
12,Subject-326780,117108038,58,5,53,117107985,0.4952691633344587,0.04269563685174841
13,Subject-326797,99872859,237,16,221,99872638,2.373017077642686,0.1602040390682381
14,Subject-327059,102853434,125,24,101,102853333,1.2153216002491467,0.23334197638495585
15,Subject-CB2,1364658,1,1,0,1364658,0.7327843313123142,0.7327843313123142
16,Subject-CORD2,1358084,7,1,6,1358078,5.154320351318475,0.7363347318784341
17,Subject-CORD3,1441611,10,6,4,1441607,6.936684029186791,4.162021965764595
18,Subject-D103,65645990,39,3,36,65645954,0.5940956941924403,0.04569969384556434
19,Subject-HD01,29550,1,1,0,29550,33.840947546531304,33.840947546531304
20,Subject-HIP1,218062505,542,58,484,218062021,2.485525881673239,0.2659793747394463
21,Subject-HIP2,174080204,618,136,482,174079722,3.550087751505622,0.7812512476323923
22,Subject-HIP3,156488073,22,18,4,156488069,0.14058579403684013,0.11502474351575007
