,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
134,Subject-HIP3,156488073,26718,2019,24699,156463374,170.735056594377,12.903978409669218
135,Subject-Healthy-1,89222,2,2,0,89222,22.415996054784696,22.415996054784696
136,Subject-Healthy-10,81939,22,16,6,81933,268.4924150892737,195.28151050248374
137,Subject-Healthy-3,6143,5,5,0,6143,813.9345596614032,813.9345596614032
138,Subject-Healthy-6,4769,1,1,0,4769,209.68756552736423,209.68756552736423
139,Subject-Healthy-7,5463,2,1,1,5462,366.0992128866923,183.0831197363603
140,Subject-Healthy-8,6343,5,3,2,6341,788.2705344474224,473.11149660936763
141,Subject-Healthy-9,4201,1,1,0,4201,238.03856224708403,238.03856224708403
142,Subject-IGG2,346200,13,4,9,346191,37.55054881571346,11.554315392370109
143,Subject-PEM1,24677,7,2,5,24672,283.6649511691048,81.06355382619974
144,Subject-PEM2,278566,48,2,46,278520,172.31105016405448,7.18081286801666
145,Subject-TW01A,126368,27,7,20,126348,213.66168650291215,55.40253901921677
146,Subject-TW01B,87491,8,5,3,87488,91.43797647758056,57.15069495245062
147,Subject-TW02A,192084,18,6,12,192072,93.70900231148872,31.23828564288392
148,Subject-TW02B,201854,39,5,34,201820,193.20895300563774,24.77455158061639
149,Subject-TW03A,273063,17,6,11,273052,62.25669534136811,21.9738364853581
150,Subject-TW03B,178233,839,7,832,177401,4707.321315356864,39.45862762893107
151,Subject-TW04A,270086,44,14,30,270056,162.91107276941418,51.84109962378173
152,Subject-TW04B,435002,25,8,17,434985,57.47100013333272,18.391438785245466
153,Subject-TW05A,263881,12,4,8,263873,45.47504367498986,15.158807456617389
154,Subject-TW05B,211004,1,1,0,211004,4.739246649352618,4.739246649352618
