,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,Donor-3,435489,1,1,0,435489,2.296269251347336,2.296269251347336
1,Subject-326651,157010895,23,4,19,157010876,0.14648664985955273,0.025475942188871042
2,Subject-326713,132075912,10,8,2,132075910,0.07571403330533125,0.06057122756148339
3,Subject-327059,102853434,2,2,0,102853434,0.019445145603986348,0.019445145603986348
4,Subject-D103,65645990,3,1,2,65645988,0.04569966878403388,0.015233223392113467
5,Subject-HIP1,218062505,11,3,8,218062497,0.05044425221108049,0.013757523835013226
6,Subject-HIP2,174080204,47,8,39,174080165,0.2699904924284211,0.04595583879415555
7,Subject-HIP3,156488073,17,2,15,156488058,0.10863447721028555,0.012780527955685921
