,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,5,3,2,419969,11.905583956987506,7.143384392657554
1,A007,802011,20,7,13,801998,24.937313827366456,8.728201317210267
2,A098,396159,3,3,0,396159,7.5727170151378616,7.5727170151378616
3,AT2,67905,1,1,0,67905,14.726456078344746,14.726456078344746
4,C.012.1,355151,34,25,9,355142,95.7339272591095,70.3943774602835
5,C.013.1,170199,7,2,5,170194,41.128326253385744,11.751295580337732
6,C.019.1,306765,13,9,4,306761,42.377715841116164,29.33880121658229
7,C.020.1,138048,3,2,1,138047,21.73157162726008,14.487819365868145
8,C.025.1,220872,1,1,0,220872,4.527509145568474,4.527509145568474
9,C.026.1,282203,27,15,12,282191,95.67580784045528,53.15548688654139
10,C.035.1,140374,20,1,19,140355,142.47652699217804,7.124790709272915
11,C.046.1,102651,6,6,0,102651,58.45047783265628,58.45047783265628
12,C.052.1,203433,29,17,12,203421,142.55307644285833,83.57052615020082
13,C.057.1,29229,2,1,1,29228,68.42519415648842,34.21376762009033
14,C.063.1,235331,12,9,3,235328,50.9920070029023,38.2444927930378
15,COS1,923780,59,16,43,923737,63.868020524367275,17.320947412521097
16,COS2,602828,27,8,19,602809,44.788895008194714,13.271201989353179
17,COS3,799900,78,22,56,799844,97.51218902362795,27.50536354589145
18,COS4,1024925,23,3,20,1024905,22.440666390223676,2.927100560539757
19,Ctl1,233879,10,5,5,233874,42.75715220263469,21.379033154604617
20,Ctl2,428596,27,10,17,428579,62.99638820707612,23.332921118393575
21,Ctl3,318223,29,3,26,318197,91.13106217966646,9.42812157248497
22,Ctl4,258693,11,1,10,258683,42.52144433749657,3.8657352821793474
23,Donor-155,341529,1,1,0,341529,2.928009041691921,2.928009041691921
24,Donor-157,293791,1,1,0,293791,3.403780238332692,3.403780238332692
25,Donor-3,435489,30,30,0,435489,68.88807754042008,68.88807754042008
26,Donor-4,130071,7,2,5,130066,53.81676161481037,15.376808697123
