,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,HD1,181425347,1,1,0,181425347,0.005511908983698953,0.005511908983698953
1,Subject-1009,247349,2,1,1,247348,8.085741199681422,4.042886944709478
2,Subject-326650,77216556,11,4,7,77216549,0.14245649598772575,0.05180236687345351
3,Subject-326713,132075912,6,5,1,132075911,0.045428419983198756,0.03785701693929637
4,Subject-326797,99872859,42,2,40,99872819,0.42053467198731137,0.020025468591208986
5,Subject-327059,102853434,33,2,31,102853403,0.32084490246577474,0.01944515146475027
6,Subject-CORD3,1441611,1,1,0,1441611,0.6936684029186792,0.6936684029186792
7,Subject-D103,65645990,4,1,3,65645987,0.06093289171204517,0.015233223624164566
8,Subject-HIP1,218062505,127,7,120,218062385,0.5824018209824747,0.0321009054358458
9,Subject-HIP2,174080204,55,17,38,174080166,0.31594632092687575,0.09765615687659673
