,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,C.046.1,102651,1,1,0,102651,9.741746305442714,9.741746305442714
1,Donor-3,435489,2,2,0,435489,4.592538502694672,4.592538502694672
2,Subject-1011,229498,1,1,0,229498,4.357336447376448,4.357336447376448
3,Subject-326650,77216556,32,4,28,77216528,0.4144188974188385,0.05180238096175472
4,Subject-326651,157010895,82,22,60,157010835,0.522256751673188,0.14011771862750746
5,Subject-326713,132075912,97,47,50,132075862,0.7344261230617132,0.35585609125155665
6,Subject-326737,94176505,1,1,0,94176505,0.010618359642885452,0.010618359642885452
7,Subject-326780,117108038,17,1,16,117108022,0.14516509959803103,0.008539124672432773
8,Subject-326797,99872859,29,1,28,99872831,0.2903691782769531,0.01001273309254646
9,Subject-326907,33686764,5,3,2,33686762,0.14842624836271004,0.08905575430491064
10,Subject-327059,102853434,8,6,2,102853432,0.07778058241594539,0.05833543794630013
11,Subject-BD1h,2300336,10,1,9,2300327,4.34719101905113,0.4347208027380455
12,Subject-BD3,1843944,4,1,3,1843941,2.1692632748066103,0.5423167010224297
13,Subject-BD6h,828336,3,1,2,828334,3.6217187228371093,1.207242489140854
14,Subject-CORD3,1441611,3,2,1,1441610,2.0810052087560376,1.3873377681897323
15,Subject-D103,65645990,4,2,2,65645988,0.06093289171204517,0.030466446784226935
16,Subject-D181,6271025,10,2,8,6271017,1.5946356456879058,0.31892753599615503
17,Subject-HIP1,218062505,73,11,62,218062443,0.3347664010371705,0.05044426655350275
18,Subject-HIP2,174080204,145,24,121,174080083,0.8329493915344907,0.13786758132462518
19,Subject-HIP3,156488073,72,7,65,156488008,0.46009896230238584,0.04473186213732109
