,donor_name,n_total_seqs,n_all_hits,n_nonredundant_hits,n_redundant_hits,n_total_seqs_minus_n_redundant_hits,original_frequency_estimate,conservative_frequency_estimate
0,A002,419971,82,8,74,419897,195.2515768945951,19.052291395270746
1,A007,802011,132,18,114,801897,164.58627126061862,22.44677308931197
2,A013,394675,32,9,23,394652,81.07936910115919,22.804901533502935
3,A030,400094,2,2,0,400094,4.998825276060126,4.998825276060126
4,A058,379324,2,2,0,379324,5.272537461378663,5.272537461378663
5,A098,396159,80,5,75,396084,201.9391204036763,12.623584896133144
6,AT2,67905,2,2,0,67905,29.452912156689493,29.452912156689493
7,AT3,65495,1,1,0,65495,15.268341094740055,15.268341094740055
8,C.012.1,355151,15,11,4,355147,42.23555614372478,30.973090016246793
9,C.013.1,170199,9,3,6,170193,52.87927661149595,17.627046940826006
10,C.019.1,306765,18,16,2,306763,58.676837318468536,52.15752877628658
11,C.020.1,138048,2,2,0,138048,14.487714418173388,14.487714418173388
12,C.026.1,282203,25,14,11,282192,88.58871096338451,49.611611952146056
13,C.036.1,206231,1,1,0,206231,4.848931537935616,4.848931537935616
14,C.038.1,101126,9,1,8,101118,88.99788382809565,9.88943610435333
15,C.046.1,102651,33,31,2,102649,321.4776280796096,302.0000194838722
16,C.049.1,6059,1,1,0,6059,165.0437365901964,165.0437365901964
17,C.052.1,203433,17,7,10,203423,83.56559653546867,34.41105479714683
18,C.057.1,29229,7,4,3,29226,239.48817954770945,136.8644357763635
19,C.063.1,235331,8,6,2,235329,33.9946713352682,25.49622018535752
20,C5,77042,1,1,0,77042,12.979933023545598,12.979933023545598
21,C7,49120,1,1,0,49120,20.35830618892508,20.35830618892508
22,COS1,923780,38,11,27,923753,41.13533525298231,11.907945089217572
23,COS2,602828,33,8,25,602803,54.74198278779353,13.271334084269654
24,COS3,799900,61,19,42,799858,76.2595324415552,23.75421637340628
25,COS4,1024925,175,8,167,1024758,170.74420079518015,7.806721196614225
26,COS5,638088,35,8,27,638061,54.85136846328406,12.537986180004733
27,Ctl1,233879,22,6,16,233863,94.06573484579633,25.65604648875624
28,Ctl2,428596,23,7,16,428580,53.66358995417596,16.33300667319987
29,Ctl3,318223,4,2,2,318221,12.569801679953995,6.28494034020382
30,Ctl4,258693,14,4,10,258683,54.11820188408654,15.46294112871739
31,Donor-155,341529,2,2,0,341529,5.856018083383842,5.856018083383842
32,Donor-3,435489,111,111,0,435489,254.8858868995543,254.8858868995543
33,Donor-5,283849,6,5,1,283848,21.137999429274014,17.615061582255294
34,Donor-6,253298,2,2,0,253298,7.895838103735521,7.895838103735521
35,Donor-HD1,1363697,16,2,14,1363683,11.732811614310217,1.4666165083820801
36,H1,643900,16,5,11,643889,24.848578971890046,7.7653135866585705
37,HD1,181425347,100,13,87,181425260,0.5511908983698954,0.07165485114917294
38,HD10,354397,45,2,43,354354,126.97624415556567,5.64407344068361
39,HD13,265652,2,1,1,265651,7.528646499932242,3.7643374201489928
40,LP08248,236129,16,3,13,236116,67.7595720983022,12.705619271883311
41,LP23810,181392,4,3,1,181391,22.05168915938961,16.538858046981385
42,LP32647,124010,2,2,0,124010,16.1277316345456,16.1277316345456
43,P.190.1,124202,15,4,11,124191,120.77100207726124,32.20845310851833
44,P.191.1,26571,10,1,9,26562,376.3501561853148,37.647767487387995
45,Patient-H011,93966,13,9,4,93962,138.347913074942,95.78340180072796
46,Patient-H012,42583,2,1,1,42582,46.96709954676749,23.48410126344465
47,Patient-H013,66555,2,2,0,66555,30.050334309969198,30.050334309969198
48,Patient-H014,83062,2,2,0,83062,24.07839926801666,24.07839926801666
49,Subject-1009,247349,63,21,42,247307,254.70084778996477,84.91470116090528
50,Subject-1010,234355,10,5,5,234350,42.67030786627126,21.33560913164071
51,Subject-1011,229498,19,14,5,229493,82.7893925001525,61.00403933889051
52,Subject-1015,222056,97,18,79,221977,436.82674640631194,81.08948224365588
53,Subject-1017,211489,22,4,18,211471,104.02432277801682,18.915123113807567
54,Subject-316188,58895283,1744,75,1669,58893614,29.6118791041381,1.2734827242899374
55,Subject-326650,77216556,5939,694,5245,77211311,76.91355724282757,8.988320377049419
56,Subject-326651,157010895,17085,3921,13164,156997731,108.81410490654167,24.97488323573288
57,Subject-326713,132075912,16764,5062,11702,132064210,126.92700543305732,38.3298397044892
